full_text,sentences,cleansing,case folding,tokens,normalize,Stopword,stemming
siapa pernah coba matcha latte nya janjiw??? lebih enak mana sama punya kopken,lebih enak mana sama punya kopken,lebih enak mana sama punya kopken,lebih enak mana sama punya kopken,"['lebih', 'enak', 'mana', 'sama', 'punya', 'kopken']","['lebih', 'enak', 'mana', 'sama', 'punya', 'kopi kenangan']","['lebih', 'enak', 'mana', 'sama', 'punya', 'kopi kenangan']",lebih enak mana sama punya kopi kenang
@UGM_FESS tomoro janjiw daheimm,@UGM_FESS tomoro janjiw daheimm, tomoro janjiw daheimm, tomoro janjiw daheimm,"['tomoro', 'janjiw', 'daheimm']","['tomoro', 'janji jiwa', 'daheimm']","['tomoro', 'janji jiwa', 'daheimm']",tomoro janji_jiwa daheimm
Setelah tak amati keknya lebih mending kopinya janjiw daripada lawson,Setelah tak amati keknya lebih mending kopinya janjiw daripada lawson,Setelah tak amati keknya lebih mending kopinya janjiw daripada lawson,setelah tak amati keknya lebih mending kopinya janjiw daripada lawson,"['setelah', 'tak', 'amati', 'keknya', 'lebih', 'mending', 'kopinya', 'janjiw', 'daripada', 'lawson']","['setelah', 'tak', 'amati', 'kayaknya', 'lebih', 'lebih baik', 'kopinya', 'janji jiwa', 'daripada', 'lawson']","['tak', 'amati', 'kayaknya', 'lebih', 'lebih baik', 'kopinya', 'janji jiwa', 'lawson']",tak amat kayak lebih lebih baik kopi janji_jiwa lawson
Kopi susu sahabat janjiw dibekuin terus ancurin jadi enak banget,Kopi susu sahabat janjiw dibekuin terus ancurin jadi enak banget,Kopi susu sahabat janjiw dibekuin terus ancurin jadi enak banget,kopi susu sahabat janjiw dibekuin terus ancurin jadi enak banget,"['kopi', 'susu', 'sahabat', 'janjiw', 'dibekuin', 'terus', 'ancurin', 'jadi', 'enak', 'banget']","['kopi', 'susu', 'sahabat', 'janji jiwa', 'dibekuin', 'terus', 'ancurin', 'jadi', 'enak', 'banget']","['kopi', 'susu', 'sahabat', 'janji jiwa', 'dibekuin', 'terus', 'ancurin', 'jadi', 'enak', 'banget']",kopi susu sahabat janji_jiwa dibekuin terus ancurin jadi enak banget
@ikanpauswlee @gvarpit @FOODFESS2 Earl grey janjiw malah yg enak wkwkwk,@ikanpauswlee @gvarpit @FOODFESS2 Earl grey janjiw malah yg enak wkwkwk,   Earl grey janjiw malah yg enak wkwkwk,   earl grey janjiw malah yg enak wkwkwk,"['earl', 'grey', 'janjiw', 'malah', 'yg', 'enak', 'wkwkwk']","['earl', 'grey', 'janji jiwa', 'malah', 'yang', 'enak', 'tertawa']","['earl', 'grey', 'janji jiwa', 'malah', 'enak', 'tertawa']",earl grey janji_jiwa malah enak tertawa
Janjiw ayo jadiin aku ba seminggu 2 kali aku beli kamu dan selalu 5 gelas wkwk https://t.co/4DFqJmojSx,Janjiw ayo jadiin aku ba seminggu 2 kali aku beli kamu dan selalu 5 gelas wkwk https://t.co/4DFqJmojSx,Janjiw ayo jadiin aku ba seminggu  kali aku beli kamu dan selalu  gelas wkwk ,janjiw ayo jadiin aku ba seminggu  kali aku beli kamu dan selalu  gelas wkwk ,"['janjiw', 'ayo', 'jadiin', 'aku', 'ba', 'seminggu', 'kali', 'aku', 'beli', 'kamu', 'dan', 'selalu', 'gelas', 'wkwk']","['janji jiwa', 'ayo', 'jadikan', 'aku', 'ba', 'seminggu', 'kali', 'aku', 'beli', 'kamu', 'dan', 'selalu', 'gelas', 'tertawa']","['janji jiwa', 'ayo', 'jadikan', 'aku', 'ba', 'seminggu', 'kali', 'aku', 'beli', 'kamu', 'selalu', 'gelas', 'tertawa']",janji_jiwa ayo jadi aku ba minggu kali aku beli kamu selalu gelas tertawa
@jemimarah @Catsillyness enak mana ama punya janjiw,@jemimarah @Catsillyness enak mana ama punya janjiw,  enak mana ama punya janjiw,  enak mana ama punya janjiw,"['enak', 'mana', 'ama', 'punya', 'janjiw']","['enak', 'mana', 'sama', 'punya', 'janji jiwa']","['enak', 'mana', 'sama', 'punya', 'janji jiwa']",enak mana sama punya janji_jiwa
Kembali menanam saham di janjiw https://t.co/x09FPrmGSP,Kembali menanam saham di janjiw https://t.co/x09FPrmGSP,Kembali menanam saham di janjiw ,kembali menanam saham di janjiw ,"['kembali', 'menanam', 'saham', 'di', 'janjiw']","['kembali', 'menanam', 'saham', 'di', 'janji jiwa']","['menanam', 'saham', 'janji jiwa']",tanam saham janji_jiwa
Bosen ke janjiw mulu wkwk,Bosen ke janjiw mulu wkwk,Bosen ke janjiw mulu wkwk,bosen ke janjiw mulu wkwk,"['bosen', 'ke', 'janjiw', 'mulu', 'wkwk']","['bosan', 'ke', 'janji jiwa', 'mulu', 'tertawa']","['bosan', 'janji jiwa', 'mulu', 'tertawa']",bosan janji_jiwa mulu tertawa
ternyata kopi janjiw yang kopi susu sahabat enak jg ya,ternyata kopi janjiw yang kopi susu sahabat enak jg ya,ternyata kopi janjiw yang kopi susu sahabat enak jg ya,ternyata kopi janjiw yang kopi susu sahabat enak jg ya,"['ternyata', 'kopi', 'janjiw', 'yang', 'kopi', 'susu', 'sahabat', 'enak', 'jg', 'ya']","['ternyata', 'kopi', 'janji jiwa', 'yang', 'kopi', 'susu', 'sahabat', 'enak', 'juga', 'ya']","['ternyata', 'kopi', 'janji jiwa', 'kopi', 'susu', 'sahabat', 'enak']",nyata kopi janji_jiwa kopi susu sahabat enak
